d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d10,d10,d10,d10
d20,d19,d19,d18,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20
d20,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20,d20,d20,d20,d20,d20,d20,d20,d20,d19,d19,d19
d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d17,d17,d17,d18,d18,d18
d12,d12,d12,d12,d12,d12,d12,d12,d11,d11,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12,d12
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d14,d15,d15,d15,d15,d15,d15,d14,d14,d14,d14,d14,d15,d15,d15,d15
d17,d17,d17,d17,d17,d17,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16,d16
d19,d19,d18,d18,d19,d19,d19,d19,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d19,d19,d19
d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d8,d8,d8,d8,d8,d8
d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d15,d15,d16,d16,d16,d16,d16,d16,d16,d16
d13,d14,d14,d14,d15,d15,d15,d15,d16,d16,d16,d16,d16,d16,d15,d15,d15,d15,d15,d14,d15,d15,d15,d16,d16,d16,d16,d16
d14,d1,d15,d15,d16,d16,d16,d16,d17,d18,d18,d17,d17,d17,d16,d16,d14,d13,d14,d15,d16,d16,d17,d18,d19,d20,d19,d18
d11,d11,d11,d11,d11,d11,d11,d11,d12,d11,d12,d12,d12,d12,d12,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d14,d14,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d20,d20,d20,d20,d20,d20,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20
d13,d13,d13,d13,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14,d14
d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8
d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15,d15
d19,d19,d19,d20,d20,d20,d19,d19,d19,d19,d19,d19,d19,d19,d19,d18,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d19
d14,d14,d14,d14,d14,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13,d13
